feature,importance
weighted_emoji_sent,0.35128872514532117
n_emojis,0.10215983444369081
places365_macro_2.0,0.09436682998924317
lum_percent,0.0701388364993871
is_location,0.05522309044434834
percent_warm,0.04942032774530832
n_mentions,0.04582260470615694
indoor,0.04222411656389852
days_within,0.03581516090421581
cap_sentiment_score,0.02254475678221254
g_percent,0.020615331784688617
pleasure,0.019014612974077874
dominance,0.01683134917694592
b_percent,0.01658682141621493
std_female_age,0.012638396307968716
kitchen,0.010271475248176983
places365_micro_0.0,0.0095911201592088
places365_micro_3.0,0.009422516696113105
places365_micro_15.0,0.009315769137867807
PopularityScore,0.006708323874954549
mean_female_age,0.0
places365_macro_0.0,0.0
std_male_age,0.0
places365_macro_1.0,0.0
cap_sentiment_magnitude,0.0
places365_micro_12.0,0.0
places365_micro_1.0,0.0
places365_micro_11.0,0.0
max_age,0.0
places365_micro_13.0,0.0
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
mean_male_age,0.0
is_sponsored,0.0
min_age,0.0
std_age,0.0
r_percent,0.0
percent_cold,0.0
arousal,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_hashtags,0.0
is_video,0.0
caption_len,0.0
n_male,0.0
n_female,0.0
mean_age,0.0
places365_micro_7.0,0.0
