feature,importance
kitchen,0.18082526462513576
is_location,0.1457242492063718
sports,0.13791634592818416
percent_cold,0.09465984061842676
n_emojis,0.0728729336094676
b_percent,0.06140241148516887
g_percent,0.04728340386068593
places365_micro_15.0,0.031187115375628436
days_within,0.030099359629716518
lum_percent,0.03005303845287837
std_female_age,0.029354615429519733
PopularityScore,0.029240227505022073
weighted_emoji_sent,0.022613976586659357
arousal,0.02232618648520177
percent_warm,0.020230883606831167
cap_sentiment_score,0.018786953874892633
r_percent,0.018346634643449836
pleasure,0.004324563880241752
indoor,0.0027519951965174765
mean_female_age,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
cap_sentiment_magnitude,0.0
places365_macro_0.0,0.0
places365_macro_1.0,0.0
places365_macro_2.0,0.0
places365_micro_0.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_2.0,0.0
places365_micro_11.0,0.0
places365_micro_4.0,0.0
places365_micro_3.0,0.0
places365_micro_7.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
caption_len,0.0
std_male_age,0.0
mean_male_age,0.0
dominance,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_hashtags,0.0
n_mentions,0.0
is_video,0.0
n_male,0.0
n_female,0.0
mean_age,0.0
std_age,0.0
min_age,0.0
max_age,0.0
places365_micro_8.0,0.0
