feature,importance
kitchen,0.13706467990082496
n_mentions,0.09484477070766405
n_emojis,0.07438127643658395
indoor,0.05961252923669964
percent_warm,0.048230490449287886
lum_percent,0.03915874114909424
is_location,0.03741632661230433
cap_sentiment_score,0.03508108219540023
std_female_age,0.03281935139349391
b_percent,0.030586217015679654
weighted_emoji_sent,0.030489718707689985
dominance,0.02855203524380575
percent_cold,0.02808274055030511
cap_sentiment_magnitude,0.02798294116285074
sports,0.0263832984782742
pleasure,0.024444297596526863
PopularityScore,0.02426534127390783
n_hashtags,0.022326952850423444
food,0.019378072587485164
r_percent,0.01741379115954862
days_within,0.014740486206914854
arousal,0.014625579232314778
g_percent,0.014515364557021813
places365_macro_1.0,0.012878244366460541
places365_micro_3.0,0.012509658674961522
places365_macro_2.0,0.01213058908974889
places365_micro_2.0,0.011261449947698574
places365_macro_0.0,0.011011575857957277
places365_micro_4.0,0.010464261652124003
places365_micro_15.0,0.009694479787159668
n_male,0.008515550893321946
caption_len,0.006953334857193069
places365_micro_0.0,0.006296021642055117
std_male_age,0.005516615025120927
min_age,0.0035369956617990936
mean_age,0.0012840862785757797
std_age,0.0011480989506189338
appliance,0.0011043185965512665
mean_female_age,0.0008851801563620999
n_female,0.0006287700923787994
furniture,0.0004790793032370518
places365_micro_11.0,0.00043951415599297717
animal,0.0003094865386450099
places365_micro_5.0,0.000291733912852186
outdoor,0.0002648698550833357
places365_micro_6.0,0.0
places365_micro_7.0,0.0
places365_micro_12.0,0.0
places365_micro_14.0,0.0
places365_micro_13.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
accessory,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
