feature,importance
n_emojis,0.0602977359516869
n_female,0.056641576911440235
n_male,0.05535879016636346
kitchen,0.04877653438590009
caption_len,0.047192519402066396
dominance,0.043201040028159464
b_percent,0.04179767558357784
indoor,0.04147346370702984
is_location,0.04124575824138576
cap_sentiment_score,0.04112181074932536
percent_warm,0.04023504588496807
lum_percent,0.03948429042461085
percent_cold,0.03892520074285714
r_percent,0.03805196455757982
std_female_age,0.03515532503925985
g_percent,0.03432394259751766
sports,0.0340678129365831
n_hashtags,0.03298308537008043
weighted_emoji_sent,0.03148019856067046
PopularityScore,0.03037258534025156
days_within,0.029895989264290976
pleasure,0.028756817840319533
arousal,0.026552035144151387
n_mentions,0.02045819581227535
mean_female_age,0.010290534344030409
appliance,0.007837639288178459
food,0.006721482947702109
min_age,0.006376570871460423
std_male_age,0.006115720258154648
places365_macro_2.0,0.005848172889013604
std_age,0.0032462865134880565
mean_age,0.003067466171684098
places365_macro_1.0,0.0026117147428553976
outdoor,0.002087221312993825
places365_micro_15.0,0.001796873005102311
cap_sentiment_magnitude,0.0014630523791900117
max_age,0.0010038461431538168
places365_micro_4.0,0.0008118460005148436
places365_micro_14.0,0.0007219185749222136
places365_micro_11.0,0.0006693204882639441
places365_micro_6.0,0.0004751020629184193
places365_micro_0.0,0.0004509142027500992
electronic,0.00031990388593081164
places365_macro_0.0,0.00023501927534093692
places365_micro_5.0,0.0
places365_micro_2.0,0.0
places365_micro_7.0,0.0
places365_micro_12.0,0.0
places365_micro_3.0,0.0
places365_micro_13.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
is_video,0.0
furniture,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
