feature,importance
n_mentions,0.169606651502236
days_within,0.1200119976267502
n_emojis,0.10625651030799532
dominance,0.06745851574321267
kitchen,0.05489626982985241
is_location,0.05336458517458255
cap_sentiment_score,0.045034724802160794
n_hashtags,0.03716408287410789
percent_warm,0.03590953354837141
b_percent,0.02807516101494765
lum_percent,0.027277949343022558
std_female_age,0.025275070441748843
weighted_emoji_sent,0.022903127641055347
indoor,0.02238784278687725
pleasure,0.021593778026655533
PopularityScore,0.018923751885840747
g_percent,0.015869848743583038
r_percent,0.014934713961584762
percent_cold,0.014202771204946174
caption_len,0.013178647974466468
arousal,0.012009409368075492
sports,0.010625880405353135
n_male,0.008958744723301585
min_age,0.005404698144933555
std_age,0.004841928927682013
n_female,0.00475483897543572
places365_micro_0.0,0.004597975452059252
places365_macro_2.0,0.004516064921260187
food,0.0035138456177777923
std_male_age,0.0030700775556576827
places365_macro_1.0,0.0026087674912623304
outdoor,0.002501745616067748
cap_sentiment_magnitude,0.002411058823237417
mean_age,0.002396451580474307
places365_micro_3.0,0.0020267248854115944
places365_micro_4.0,0.0019802844061922995
places365_macro_0.0,0.0018358955049944474
appliance,0.001525593062365702
places365_micro_15.0,0.0015154055278610095
places365_micro_11.0,0.0010097350559277536
mean_female_age,0.0008137837417025371
places365_micro_13.0,0.000654940346224222
person,0.0005539559134867483
places365_micro_2.0,0.0004782740604799522
places365_micro_5.0,0.00028534381229111157
places365_micro_1.0,0.00027299126630448334
places365_micro_6.0,0.000258629852345478
furniture,0.00025142052783667766
places365_micro_14.0,0.0
places365_micro_7.0,0.0
is_sponsored,0.0
places365_micro_12.0,0.0
places365_micro_10.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
accessory,0.0
animal,0.0
vehicle,0.0
places365_micro_8.0,0.0
