feature,importance
weighted_emoji_sent,0.27556000338348474
is_location,0.1581416627520852
percent_warm,0.1324949366216845
food,0.10163041804491671
arousal,0.08014191045296866
cap_sentiment_score,0.06688294953464162
g_percent,0.05545559557053883
n_hashtags,0.04834116622372567
n_mentions,0.022868277080774
pleasure,0.01705524860961215
percent_cold,0.015759288408122716
n_emojis,0.012557807616889046
PopularityScore,0.01129397813247258
lum_percent,0.001816757568083711
places365_macro_2.0,0.0
cap_sentiment_magnitude,0.0
std_female_age,0.0
std_male_age,0.0
places365_macro_0.0,0.0
places365_macro_1.0,0.0
mean_female_age,0.0
places365_micro_11.0,0.0
places365_micro_0.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
max_age,0.0
places365_micro_12.0,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
mean_male_age,0.0
is_sponsored,0.0
min_age,0.0
sports,0.0
days_within,0.0
r_percent,0.0
b_percent,0.0
dominance,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
kitchen,0.0
std_age,0.0
furniture,0.0
electronic,0.0
appliance,0.0
indoor,0.0
is_video,0.0
caption_len,0.0
n_male,0.0
n_female,0.0
mean_age,0.0
places365_micro_7.0,0.0
