feature,importance
n_emojis,0.10081792565356759
indoor,0.09069700073272399
percent_warm,0.06467619161255336
days_within,0.05976471590462164
percent_cold,0.05450018957048483
is_location,0.04937891562740969
lum_percent,0.047812027257052074
n_mentions,0.042648271178476124
weighted_emoji_sent,0.038903949985251825
g_percent,0.03673845888277397
n_hashtags,0.03279334160854485
places365_micro_15.0,0.027911944727804373
std_female_age,0.02741277402429384
PopularityScore,0.027299372896416155
places365_macro_1.0,0.02704373729381305
b_percent,0.026978373262564595
places365_micro_0.0,0.026043299865861586
food,0.024633620027471013
places365_macro_2.0,0.02370609587229891
places365_micro_4.0,0.023604466807127685
cap_sentiment_score,0.022037069968778227
pleasure,0.02116112143397627
places365_macro_0.0,0.01829743481877632
arousal,0.01650482278361634
r_percent,0.01516357201831394
mean_age,0.010459492512054308
n_male,0.007806054562660159
caption_len,0.007026201047837
std_male_age,0.005546685995814805
dominance,0.005457925195050702
std_age,0.003117905923727372
min_age,0.002689005177813761
electronic,0.0023463914742459023
sports,0.0021372846345673524
appliance,0.0018283657909037507
mean_female_age,0.0010543856047454633
places365_micro_2.0,0.0010350523588074582
outdoor,0.0009634391880102136
furniture,0.0008598716070146694
n_female,0.0006021447518443348
cap_sentiment_magnitude,0.0005411003603304411
places365_micro_6.0,0.0
places365_micro_13.0,0.0
places365_micro_7.0,0.0
places365_micro_11.0,0.0
places365_micro_5.0,0.0
places365_micro_14.0,0.0
places365_micro_3.0,0.0
places365_micro_12.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
kitchen,0.0
accessory,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
