feature,importance
n_emojis,0.1616444401036691
indoor,0.06714404889636676
places365_macro_1.0,0.054129142500142925
percent_warm,0.049452598474888136
places365_micro_4.0,0.045175439799838374
cap_sentiment_score,0.044888120790093904
places365_micro_15.0,0.044493603434620735
places365_micro_0.0,0.042038439467349226
places365_macro_2.0,0.041363518785048896
places365_macro_0.0,0.040277226340425624
percent_cold,0.03937874336921761
std_female_age,0.036812242288498075
n_hashtags,0.03598683557050159
lum_percent,0.034655303467963826
is_location,0.029167507855400364
weighted_emoji_sent,0.02328273795575603
b_percent,0.02223326619476406
pleasure,0.01873346356756406
places365_micro_2.0,0.018188527518222697
places365_micro_3.0,0.01659581620568638
days_within,0.01580252336758955
caption_len,0.014975284539820662
r_percent,0.014731196093926705
food,0.013340999264522469
arousal,0.010562511557350702
std_age,0.008495649186677686
std_male_age,0.008367473684346507
n_male,0.00833779031798938
PopularityScore,0.007245024164929391
g_percent,0.006266163791915929
appliance,0.006207045391081282
n_female,0.00393407645921526
n_mentions,0.002743456424507273
kitchen,0.002723053414375337
dominance,0.002281611748283996
mean_female_age,0.0017921903869758426
electronic,0.0015887943857048135
mean_age,0.0015681665886038618
outdoor,0.001544040948779187
places365_micro_13.0,0.0011221227825430147
person,0.00046626380759139753
places365_micro_10.0,0.0002635391072514835
places365_micro_7.0,0.0
places365_micro_12.0,0.0
places365_micro_14.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
places365_micro_11.0,0.0
is_sponsored,0.0
places365_micro_1.0,0.0
cap_sentiment_magnitude,0.0
mean_male_age,0.0
max_age,0.0
min_age,0.0
is_video,0.0
furniture,0.0
sports,0.0
accessory,0.0
animal,0.0
vehicle,0.0
places365_micro_8.0,0.0
