feature,importance
is_location,0.08764001965250268
n_mentions,0.07154376042888266
places365_micro_0.0,0.05332904114715401
places365_macro_2.0,0.050028380965113334
n_emojis,0.04805926025052963
percent_warm,0.04536892343297301
dominance,0.03979000356150466
places365_micro_15.0,0.03616167620806276
pleasure,0.03519891625236503
lum_percent,0.0348323434496247
std_female_age,0.033738136205232014
percent_cold,0.03299617456535071
places365_macro_1.0,0.029239753748596834
cap_sentiment_score,0.0290362645833696
places365_macro_0.0,0.02569693874996895
weighted_emoji_sent,0.025544914909543637
b_percent,0.02323876289205519
mean_female_age,0.023032231657757814
days_within,0.022617693346118104
n_male,0.02235157699474555
places365_micro_4.0,0.02201785551452329
g_percent,0.020223259384070588
PopularityScore,0.020014356582397672
r_percent,0.01866266385941047
n_female,0.018391605584215702
places365_micro_3.0,0.01713597847927961
arousal,0.016938733115828532
indoor,0.01679468732827072
n_hashtags,0.013382497593390767
caption_len,0.011809420291398467
std_age,0.011528356315457814
min_age,0.010164062773734446
places365_micro_2.0,0.007670324182084658
person,0.006479400477888904
mean_age,0.006351075664009361
is_sponsored,0.003592333746834902
outdoor,0.0024156778953441024
accessory,0.002018451602821962
places365_micro_14.0,0.0019703945237390416
std_male_age,0.0019487475536808852
places365_micro_7.0,0.0005013070366183036
max_age,0.00028407398741703857
appliance,0.0002599635061320649
places365_micro_12.0,0.0
places365_micro_6.0,0.0
places365_micro_5.0,0.0
vehicle,0.0
animal,0.0
places365_micro_13.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
mean_male_age,0.0
places365_micro_1.0,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
cap_sentiment_magnitude,0.0
electronic,0.0
is_video,0.0
places365_micro_8.0,0.0
