feature,importance
std_male_age,0.08367975370688695
n_mentions,0.07039902290316608
is_location,0.05988675129944605
pleasure,0.05292145739308422
places365_macro_1.0,0.05280063374674597
lum_percent,0.045980414292351814
percent_warm,0.043376040574092806
places365_micro_3.0,0.03348311472752537
b_percent,0.03177450062214873
n_emojis,0.031608032646691646
percent_cold,0.03142263846421818
places365_micro_4.0,0.03123043653868349
cap_sentiment_score,0.031119359770657627
places365_micro_0.0,0.027777446759429652
PopularityScore,0.026893153289648287
days_within,0.02658918558255998
places365_macro_0.0,0.023594380839439714
places365_micro_15.0,0.023485533409942642
places365_macro_2.0,0.02331539210941587
indoor,0.023060130821054188
r_percent,0.02187542540196182
std_female_age,0.019687914702624647
min_age,0.019376424463409675
arousal,0.01848333929008783
mean_female_age,0.01639103128574622
dominance,0.016173454852950298
std_age,0.014859801362726762
g_percent,0.012916891366758066
places365_micro_2.0,0.012877982284786437
weighted_emoji_sent,0.011369254609053676
appliance,0.010014494421616607
n_male,0.008148325871286617
n_hashtags,0.00608565759066744
caption_len,0.005142785917188508
mean_age,0.004677319679795712
n_female,0.003985536325934459
food,0.0030316176154019624
places365_micro_5.0,0.0029491934554462863
person,0.0027264794713489355
cap_sentiment_magnitude,0.002636607817859728
outdoor,0.0026035991596013645
places365_micro_11.0,0.001781729424431992
places365_micro_7.0,0.001655989115791325
places365_micro_14.0,0.001339938886573572
places365_micro_10.0,0.001246913681565684
accessory,0.0012004873442155986
places365_micro_1.0,0.0011775815621254372
max_age,0.0006729375424322733
places365_micro_13.0,0.0005139059994219235
places365_micro_6.0,0.0
is_sponsored,0.0
places365_micro_12.0,0.0
mean_male_age,0.0
is_video,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
animal,0.0
vehicle,0.0
places365_micro_8.0,0.0
