feature,importance
places365_macro_0.0,0.15303528078018747
places365_micro_15.0,0.09549672844807544
places365_micro_4.0,0.08008290502032894
places365_micro_2.0,0.07174434838708976
places365_micro_3.0,0.05792531147148164
places365_micro_0.0,0.05544001774407526
places365_macro_2.0,0.05494359403319281
dominance,0.05209100532725794
places365_macro_1.0,0.04366760771075591
percent_warm,0.02909411503378854
is_location,0.02263711438797031
weighted_emoji_sent,0.021970278247429406
lum_percent,0.021661218572294864
percent_cold,0.019012402156551398
n_emojis,0.01753342639873198
b_percent,0.017134245314533784
cap_sentiment_score,0.016464654900343146
indoor,0.015904135744601287
g_percent,0.015028538371883827
pleasure,0.01444512666529277
n_mentions,0.012620484005584463
appliance,0.011943222956049328
r_percent,0.010668918436151208
std_female_age,0.010136539649227708
n_hashtags,0.01009201211428118
arousal,0.009185118189015271
caption_len,0.007164992693952554
days_within,0.006979932160366372
PopularityScore,0.006639585143279102
min_age,0.005963866237413161
std_age,0.0052565778211595415
n_male,0.0048263308466824275
mean_female_age,0.003858646146731512
n_female,0.002616279242915031
places365_micro_1.0,0.002285958541900336
places365_micro_11.0,0.001906726231226944
outdoor,0.0016726309855042889
places365_micro_14.0,0.0016398515528661991
std_male_age,0.001505034099064549
sports,0.0012898344930750525
accessory,0.0008902998346870124
places365_micro_13.0,0.0007653803054909418
person,0.0007453127297710133
animal,0.0006834047287125923
mean_age,0.000662105668399383
furniture,0.0005896497315600424
vehicle,0.0005829023443363127
food,0.0005049422851859698
places365_micro_10.0,0.00043050589006347624
places365_micro_12.0,0.0003524573871773744
places365_micro_7.0,0.00022844283230322125
places365_micro_5.0,0.0
places365_micro_6.0,0.0
is_sponsored,0.0
cap_sentiment_magnitude,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
kitchen,0.0
places365_micro_8.0,0.0
