feature,importance
n_emojis,0.09060626877581754
places365_macro_2.0,0.08687237349559038
indoor,0.07555368574600467
places365_macro_0.0,0.054310912728218266
is_location,0.049886905343000026
places365_micro_15.0,0.042593741589475674
lum_percent,0.035598146875072165
percent_warm,0.03350387248922789
caption_len,0.032435820568104685
places365_micro_0.0,0.028327421880793905
places365_micro_4.0,0.026667273267554116
b_percent,0.026288813068530974
cap_sentiment_magnitude,0.024478508003777065
percent_cold,0.024406663413786882
cap_sentiment_score,0.023507261946240792
g_percent,0.02328895000452618
places365_macro_1.0,0.023186811967039388
places365_micro_2.0,0.022081903746594647
n_male,0.021528379391116605
PopularityScore,0.021089128374948127
n_female,0.02073876534218437
places365_micro_3.0,0.020687258500713134
weighted_emoji_sent,0.020659646973705665
mean_female_age,0.018768991485121133
days_within,0.01737318408982908
r_percent,0.017282204189115954
pleasure,0.01622423619286857
std_female_age,0.015925579940563487
arousal,0.01228843956516909
min_age,0.012167360374083714
mean_age,0.011417051075483785
dominance,0.009536243057343704
appliance,0.006861284256143716
n_hashtags,0.00665467409248543
std_age,0.006424659407509767
std_male_age,0.005502802948495499
n_mentions,0.003660421883477438
places365_micro_1.0,0.0026210097311602037
places365_micro_11.0,0.0012464019905698038
food,0.0009210251198616719
places365_micro_14.0,0.0008049962298244013
furniture,0.0007855482972577774
outdoor,0.0007164196670326594
is_sponsored,0.0006561321874207076
places365_micro_12.0,0.0006390413142666106
person,0.0006304081235751626
animal,0.0006037087700772482
mean_male_age,0.0005457815392636334
kitchen,0.0004946163356816358
places365_micro_10.0,0.0003712456113071176
places365_micro_5.0,0.00028997835418903664
max_age,0.00028804067879894667
vehicle,0.0
places365_micro_7.0,0.0
places365_micro_6.0,0.0
sports,0.0
accessory,0.0
places365_micro_13.0,0.0
electronic,0.0
is_video,0.0
places365_micro_8.0,0.0
