feature,importance
n_emojis,0.1396646956567383
percent_cold,0.13946124989768074
r_percent,0.11828158176431358
pleasure,0.10125487219843736
percent_warm,0.0930174640066993
is_location,0.07248110842320647
g_percent,0.053263386651163876
n_female,0.05217814133635336
places365_macro_1.0,0.04272923041270762
std_female_age,0.03536957838166822
dominance,0.03438863447888314
cap_sentiment_score,0.028550949096522543
arousal,0.0278780149596857
b_percent,0.02638093675573873
cap_sentiment_magnitude,0.022196128676996385
n_mentions,0.012904027303204715
std_male_age,0.0
mean_male_age,0.0
mean_female_age,0.0
cuteness,0.0
places365_macro_0.0,0.0
places365_micro_10.0,0.0
places365_macro_2.0,0.0
places365_micro_0.0,0.0
places365_micro_1.0,0.0
min_age,0.0
places365_micro_12.0,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
max_age,0.0
is_sponsored,0.0
std_age,0.0
kitchen,0.0
days_within,0.0
PopularityScore,0.0
lum_percent,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
food,0.0
mean_age,0.0
furniture,0.0
electronic,0.0
appliance,0.0
indoor,0.0
weighted_emoji_sent,0.0
n_hashtags,0.0
is_video,0.0
caption_len,0.0
n_male,0.0
places365_micro_7.0,0.0
