feature,importance
places365_macro_1.0,0.0883204331903192
places365_macro_0.0,0.08702419789408489
places365_micro_5.0,0.06112266777973628
cuteness,0.05153013807435296
n_emojis,0.049286824145751126
n_mentions,0.04552597045758057
is_location,0.04552027164198889
percent_warm,0.04204127485403971
cap_sentiment_magnitude,0.037036623139621944
percent_cold,0.03435003569018413
g_percent,0.0335267472049146
PopularityScore,0.03251489211381315
lum_percent,0.03105374072657089
pleasure,0.02890390031343873
weighted_emoji_sent,0.026545888627648156
r_percent,0.026324874496616718
days_within,0.026049640738043608
n_hashtags,0.026045281650223413
outdoor,0.025895748080387627
std_female_age,0.0258237012330865
cap_sentiment_score,0.022653145184120444
b_percent,0.02001513253609886
indoor,0.018952092786689977
arousal,0.01512759494799619
appliance,0.013812713810435907
places365_micro_0.0,0.013786228854849631
places365_macro_2.0,0.011698091776831359
places365_micro_15.0,0.010154410496865086
mean_age,0.007664450346888658
std_age,0.007037957189067216
dominance,0.006572655841056228
std_male_age,0.006449120115326075
min_age,0.00405991420774664
food,0.003831586242630725
caption_len,0.002588154245470223
places365_micro_12.0,0.0024860486748942106
mean_female_age,0.002302215969294121
n_female,0.002129216399137318
places365_micro_13.0,0.0015557046080897604
places365_micro_7.0,0.0013198501471921005
furniture,0.0004105331604681316
accessory,0.00039066479176909043
n_male,0.00034183169279795384
places365_micro_11.0,0.00021783392188104938
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_6.0,0.0
is_sponsored,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
electronic,0.0
kitchen,0.0
sports,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
