feature,importance
weighted_emoji_sent,0.10555938540878564
n_emojis,0.09992047273427293
indoor,0.0908890604053165
lum_percent,0.05363335399549572
n_female,0.04301468701866588
percent_cold,0.0387220691053207
is_location,0.03689041869999416
std_male_age,0.03381206338134366
pleasure,0.03157108370410745
PopularityScore,0.031516141360842936
cap_sentiment_score,0.031163676326075602
percent_warm,0.030312195680760306
std_female_age,0.029995339800574186
r_percent,0.027710539095284363
g_percent,0.02753052587445981
cap_sentiment_magnitude,0.025983840475665664
places365_macro_1.0,0.024915761983198927
outdoor,0.024427030664831755
b_percent,0.02439873301688105
arousal,0.023862050015303546
dominance,0.022645315798783767
cuteness,0.02084078337431913
days_within,0.018237986121821502
places365_macro_2.0,0.015408464841167355
places365_micro_13.0,0.015168784219117869
mean_female_age,0.012031047665614093
std_age,0.009958216658013481
n_hashtags,0.0086173105173224
places365_micro_0.0,0.008046860757436552
n_mentions,0.0075715855628385505
caption_len,0.006935481550769627
n_male,0.006299091202535208
mean_age,0.004774788270832857
food,0.002671721650168667
places365_micro_15.0,0.0017273327908830431
places365_micro_5.0,0.0013220676616403305
places365_micro_6.0,0.001147026214333978
accessory,0.0007677063952206806
places365_micro_2.0,0.0
places365_micro_12.0,0.0
places365_micro_11.0,0.0
places365_micro_10.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_1.0,0.0
places365_micro_7.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
places365_macro_0.0,0.0
mean_male_age,0.0
max_age,0.0
min_age,0.0
is_video,0.0
appliance,0.0
electronic,0.0
furniture,0.0
kitchen,0.0
sports,0.0
animal,0.0
vehicle,0.0
person,0.0
places365_micro_8.0,0.0
