feature,importance
n_mentions,0.14104187556053707
indoor,0.11871288081762693
outdoor,0.07952429095615461
weighted_emoji_sent,0.07751626256172017
places365_macro_0.0,0.07010804965544648
r_percent,0.04563362546365095
cap_sentiment_score,0.04349229471655824
percent_warm,0.04321955341067281
percent_cold,0.03751483064515899
cuteness,0.03313426728226755
places365_macro_1.0,0.028720842604188737
pleasure,0.027731998661388202
b_percent,0.02584233414730838
places365_micro_0.0,0.022365534772855328
lum_percent,0.021099147275490684
n_emojis,0.020507013263394186
n_hashtags,0.019176554252092567
is_location,0.016305952056372974
places365_macro_2.0,0.015386425254823635
std_female_age,0.015094472475695548
PopularityScore,0.015028763500163378
g_percent,0.012966293288671831
cap_sentiment_magnitude,0.012620052814470173
places365_micro_4.0,0.009726429720377214
days_within,0.008660604848094448
caption_len,0.008579980337253797
places365_micro_15.0,0.0077201942234274845
arousal,0.0065683809224032315
n_female,0.005275852252120603
food,0.0038246973740469954
std_male_age,0.0025512798611371412
n_male,0.002244991257953379
mean_age,0.002104273766476204
places365_micro_11.0,0.0
places365_micro_10.0,0.0
places365_micro_1.0,0.0
places365_micro_12.0,0.0
places365_micro_14.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_5.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
places365_micro_13.0,0.0
is_sponsored,0.0
mean_female_age,0.0
kitchen,0.0
dominance,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
furniture,0.0
mean_male_age,0.0
electronic,0.0
appliance,0.0
is_video,0.0
std_age,0.0
min_age,0.0
max_age,0.0
places365_micro_8.0,0.0
