feature,importance
n_female,0.14857702046607998
caption_len,0.1084646960035647
is_location,0.08971820239875845
n_male,0.0673642003205174
r_percent,0.06337072263541761
n_emojis,0.06262007105230796
weighted_emoji_sent,0.058325821675395996
cap_sentiment_score,0.04499885122710728
percent_warm,0.038533811922643775
lum_percent,0.0372774338477308
g_percent,0.03535040383949563
indoor,0.03505425463780747
min_age,0.031119281291466197
arousal,0.02836771361750695
n_hashtags,0.02502867973215943
b_percent,0.017741628566587096
places365_micro_5.0,0.017514133041727907
n_mentions,0.015846720854725167
percent_cold,0.012003384906518488
std_male_age,0.009693049367094645
places365_micro_6.0,0.009559396168152037
pleasure,0.008749916209477895
cap_sentiment_magnitude,0.007798382917044834
std_age,0.006048138247863069
food,0.005681150223449352
PopularityScore,0.005239023547148525
places365_macro_1.0,0.004883907505565012
days_within,0.0025624688591294196
places365_macro_0.0,0.00250753491755705
places365_micro_7.0,0.0
places365_macro_2.0,0.0
places365_micro_0.0,0.0
places365_micro_4.0,0.0
places365_micro_12.0,0.0
places365_micro_1.0,0.0
places365_micro_11.0,0.0
places365_micro_10.0,0.0
places365_micro_3.0,0.0
places365_micro_2.0,0.0
places365_micro_15.0,0.0
places365_micro_14.0,0.0
places365_micro_13.0,0.0
is_sponsored,0.0
std_female_age,0.0
mean_female_age,0.0
dominance,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
furniture,0.0
electronic,0.0
appliance,0.0
is_video,0.0
mean_age,0.0
max_age,0.0
mean_male_age,0.0
places365_micro_8.0,0.0
