feature,importance
n_female,0.13665984187023048
lum_percent,0.09334530993112278
is_location,0.0924374580599113
cap_sentiment_score,0.08880512525373035
caption_len,0.0776695594393325
b_percent,0.06743145374099706
n_hashtags,0.05452637735690667
n_male,0.045207065280445415
places365_micro_5.0,0.04070550577839144
std_female_age,0.032461504901016965
percent_cold,0.03126917669099107
weighted_emoji_sent,0.03038563907966438
mean_female_age,0.030307496115596817
outdoor,0.02931606367638333
PopularityScore,0.02315109591688182
dominance,0.021530958632119075
pleasure,0.021475066385669508
mean_age,0.018056892362575124
arousal,0.013454088802909941
days_within,0.011703995874855634
percent_warm,0.010753130644703271
n_mentions,0.008253161893514542
places365_micro_4.0,0.007349368939705398
places365_macro_2.0,0.006872331686172618
r_percent,0.006872331686172618
places365_micro_0.0,0.0
cap_sentiment_magnitude,0.0
places365_macro_0.0,0.0
places365_macro_1.0,0.0
places365_micro_6.0,0.0
places365_micro_7.0,0.0
places365_micro_1.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
places365_micro_13.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_3.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
std_male_age,0.0
mean_male_age,0.0
g_percent,0.0
person,0.0
vehicle,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
indoor,0.0
n_emojis,0.0
is_video,0.0
std_age,0.0
min_age,0.0
max_age,0.0
places365_micro_8.0,0.0
