feature,importance
places365_macro_0.0,0.30162357480889596
n_mentions,0.11776822417672214
places365_macro_1.0,0.08712471892354941
cap_sentiment_magnitude,0.08123957209287644
dominance,0.04976156968192896
caption_len,0.047200518377267076
n_hashtags,0.04071900725589665
indoor,0.02857718199489274
n_emojis,0.025385504156671023
percent_warm,0.021814762531499637
n_male,0.019473721289595576
lum_percent,0.016870869821434698
pleasure,0.016742034220123464
b_percent,0.012036718120084356
std_female_age,0.011514082844022897
is_location,0.01014108359953465
places365_micro_11.0,0.00971537575101251
percent_cold,0.009552835674259927
arousal,0.00947691975070246
mean_age,0.009364935017293236
days_within,0.008983890885460342
weighted_emoji_sent,0.00877979073872395
cap_sentiment_score,0.008744791858380436
r_percent,0.00824440923682844
g_percent,0.008165904784433638
n_female,0.007138670596069863
PopularityScore,0.0054816539919125395
std_age,0.004397251832903948
min_age,0.0025649070830313946
std_male_age,0.0017241216123702373
mean_female_age,0.0016847951568886666
places365_micro_0.0,0.0016154784619774455
animal,0.0015104715129461044
outdoor,0.0012209714987271067
places365_micro_15.0,0.001213187377299283
person,0.00119764861987722
places365_micro_6.0,0.0006266224354112411
places365_macro_2.0,0.0006022222284942876
places365_micro_13.0,0.0
places365_micro_10.0,0.0
places365_micro_2.0,0.0
places365_micro_12.0,0.0
places365_micro_3.0,0.0
places365_micro_4.0,0.0
places365_micro_5.0,0.0
places365_micro_7.0,0.0
places365_micro_14.0,0.0
is_sponsored,0.0
places365_micro_1.0,0.0
mean_male_age,0.0
max_age,0.0
is_video,0.0
appliance,0.0
electronic,0.0
furniture,0.0
food,0.0
kitchen,0.0
sports,0.0
accessory,0.0
vehicle,0.0
places365_micro_8.0,0.0
