feature,importance
n_emojis,0.12064538385469423
n_mentions,0.08216800286806324
places365_macro_0.0,0.06513491279280603
percent_warm,0.06005760107667969
is_location,0.04359865639340468
lum_percent,0.04303037625119745
n_hashtags,0.04014144585563869
places365_macro_1.0,0.03756021823215788
cap_sentiment_magnitude,0.036037959005804414
cap_sentiment_score,0.03468572790395307
b_percent,0.03187639090917466
pleasure,0.03053518416493859
weighted_emoji_sent,0.02946133676761429
indoor,0.029242072956765265
std_female_age,0.02902163657654649
caption_len,0.028613766341657222
dominance,0.027705240649851155
PopularityScore,0.026378737343421346
g_percent,0.023362212806052572
days_within,0.021183121266766615
percent_cold,0.02047747565264587
arousal,0.019693838276245698
n_male,0.0183427229088842
std_male_age,0.017539611423200735
r_percent,0.01618148371414402
std_age,0.009559034957727449
outdoor,0.0067520429048715655
min_age,0.006739332266742382
mean_age,0.006403430655699515
person,0.004562841577681875
places365_micro_5.0,0.003907238533175577
mean_female_age,0.0037681743775280284
places365_micro_10.0,0.0031744168036765496
places365_micro_11.0,0.002773434575668673
places365_micro_6.0,0.002737784806272096
n_female,0.0023808666986118903
places365_micro_13.0,0.0021915576992035347
places365_micro_1.0,0.00181085903975037
appliance,0.0017398386188136
places365_micro_14.0,0.001358685481538014
accessory,0.0011739802605542416
places365_macro_2.0,0.0009285404002136655
places365_micro_12.0,0.0009036079645461524
max_age,0.0007857272065101738
places365_micro_7.0,0.0006449191998244756
places365_micro_3.0,0.0006077972554216687
furniture,0.0005765345654200137
places365_micro_2.0,0.0005531883051080537
places365_micro_4.0,0.00046331392242553616
places365_micro_8.0,0.00041854410738916567
kitchen,0.0004091918233175832
places365_micro_0.0,0.0
mean_male_age,0.0
is_video,0.0
places365_micro_15.0,0.0
electronic,0.0
food,0.0
sports,0.0
animal,0.0
vehicle,0.0
is_sponsored,0.0
