feature,importance
n_mentions,0.1911851353284259
mean_age,0.100304236349022
n_male,0.0962970518762627
places365_macro_1.0,0.0911460106368054
caption_len,0.08646941220841364
n_hashtags,0.057155060391263134
places365_macro_0.0,0.053277931445447096
cap_sentiment_magnitude,0.04781854095029078
n_emojis,0.034932551314946915
indoor,0.03122838426918185
percent_warm,0.02355171905855686
is_location,0.01971019730512273
weighted_emoji_sent,0.019073986614368942
days_within,0.013832862758413032
b_percent,0.01273526457615941
lum_percent,0.01184617882854482
mean_female_age,0.01039792651110002
cap_sentiment_score,0.009821018896500661
dominance,0.009269368941807956
places365_macro_2.0,0.00913219517072769
pleasure,0.00887172539525393
percent_cold,0.007688458344382833
std_female_age,0.007428209696686963
n_female,0.00721447496273076
g_percent,0.00508922625831651
r_percent,0.005081009585948354
arousal,0.004579176706411363
std_age,0.00388858122679849
min_age,0.003746885727081139
PopularityScore,0.003551978711815202
food,0.002512945678526934
outdoor,0.0016239565148699734
places365_micro_11.0,0.0011235762812850656
places365_micro_10.0,0.0010857677347781802
person,0.0010398652784865008
places365_micro_13.0,0.0010229213238126126
places365_micro_7.0,0.00074046843873406
places365_micro_8.0,0.0007083851523315477
places365_micro_3.0,0.0006849773268003261
std_male_age,0.0006719065462586842
sports,0.0005623743968423388
max_age,0.0005481871491382125
places365_micro_2.0,0.0005253784864013482
appliance,0.0003163097196954775
places365_micro_6.0,0.0002764415504607157
animal,0.00012537031766925898
places365_micro_1.0,0.00010640805712178411
places365_micro_14.0,0.0
vehicle,0.0
places365_micro_5.0,0.0
places365_micro_4.0,0.0
places365_micro_15.0,0.0
accessory,0.0
places365_micro_12.0,0.0
mean_male_age,0.0
places365_micro_0.0,0.0
kitchen,0.0
furniture,0.0
electronic,0.0
is_video,0.0
is_sponsored,0.0
